ticker,model,r2
CRWV,parametric,0.9983894175016432
FROG,parametric,0.9999015705439042
SOUN,parametric,0.9995620863015536
CRWV,linear,0.9646604974074472
FROG,linear,0.9998773012125508
SOUN,linear,0.9989209547689328
CRWV,quadratic,0.9991074895489832
FROG,quadratic,0.9999190732902936
SOUN,quadratic,0.999771258902846
CRWV,lowess,0.999249367466298
CRWV,spline,0.9999134619224364
FROG,lowess,0.9999657555584596
FROG,spline,0.9999547389959812
SOUN,lowess,0.9999551470430926
SOUN,spline,0.999987037540812
